Date,Label,Orientation,Bud type,Diameter,centrale_present
2024-05-06,13,east,apical annual,11.2,x
2024-05-06,13,east,apical annual,13.8,x
2024-05-06,14,east,lateral annual,10.5,x
2024-05-06,14,east,lateral annual,8,x
2024-05-06,14,east,lateral annual,4.5,x
2024-05-06,15,east,pluriennial,16.1,x
2024-05-06,15,east,pluriennial,14.8,x
2024-05-06,15,east,pluriennial,12.9,x
2024-05-06,15,east,pluriennial,10,x
2024-05-06,15,east,pluriennial,10,x
2024-05-06,16,west,apical annual,18,x
2024-05-06,16,west,apical annual,18.4,x
2024-05-06,16,west,apical annual,14,x
2024-05-06,16,west,apical annual,17.7,x
2024-05-06,16,west,apical annual,16.2,x
2024-05-06,16,west,apical annual,17.8,x
2024-05-06,17,west,lateral annual,9.4,
2024-05-06,17,west,lateral annual,9.5,
2024-05-06,17,west,lateral annual,5.2,
2024-05-06,18,west,pluriennial,18.8,x
2024-05-06,18,west,pluriennial,16.7,x
2024-05-06,18,west,pluriennial,14.1,x
2024-05-06,18,west,pluriennial,6.7,x
2024-05-06,18,west,pluriennial,15.7,x
2024-05-06,19,west,apical annual,18.9,
2024-05-06,19,west,apical annual,17.1,
2024-05-06,19,west,apical annual,17.1,
2024-05-06,19,west,apical annual,17.8,
2024-05-06,20,west,lateral annual,10.4,x
2024-05-06,20,west,lateral annual,10.3,x
2024-05-06,20,west,lateral annual,4.9,x
2024-05-06,20,west,lateral annual,9,x
2024-05-06,20,west,lateral annual,6.1,x
2024-05-06,21,west,pluriennial,18.5,x
2024-05-06,21,west,pluriennial,13.6,x
2024-05-06,21,west,pluriennial,18.9,x
2024-05-06,21,west,pluriennial,15.2,x
2024-05-06,21,west,pluriennial,15.6,x
2024-05-06,21,west,pluriennial,16.7,x
2024-05-06,22,west,apical annual,20.8,x
2024-05-06,22,west,apical annual,16.1,x
2024-05-06,22,west,apical annual,12.8,x
2024-05-06,22,west,apical annual,17.5,x
2024-05-06,22,west,apical annual,16.8,x
2024-05-06,23,west,lateral annual,8,x
2024-05-06,23,west,lateral annual,7,x
2024-05-06,23,west,lateral annual,6.5,x
2024-05-06,23,west,lateral annual,4.4,x
2024-05-06,23,west,lateral annual,3.1,x
2024-05-06,24,west,pluriennial,21.4,x
2024-05-06,24,west,pluriennial,15.6,x
2024-05-06,24,west,pluriennial,15.7,x
2024-05-06,24,west,pluriennial,14.1,x
2024-05-06,25,west,apical annual,17.6,x
2024-05-06,25,west,apical annual,17.7,x
2024-05-06,25,west,apical annual,16.6,x
2024-05-06,25,west,apical annual,16.3,x
2024-05-06,25,west,apical annual,16,x
2024-05-06,25,west,apical annual,10,x
2024-05-06,26,west,lateral annual,11,x
2024-05-06,26,west,lateral annual,9.5,x
2024-05-06,26,west,lateral annual,10.9,x
2024-05-06,26,west,lateral annual,4.3,x
2024-05-06,26,west,lateral annual,9.5,x
2024-05-06,27,west,pluriennial,15,x
2024-05-06,27,west,pluriennial,15.5,x
2024-05-06,27,west,pluriennial,10.9,x
2024-05-06,27,west,pluriennial,17.4,x
2024-05-06,27,west,pluriennial,12.9,x
2024-05-06,27,west,pluriennial,15.5,x
2024-05-06,28,west,apical annual,21.2,x
2024-05-06,28,west,apical annual,17,x
2024-05-06,28,west,apical annual,14.9,x
2024-05-06,28,west,apical annual,9.6,x
2024-05-06,28,west,apical annual,11.7,x
2024-05-06,28,west,apical annual,18.6,x
2024-05-06,29,west,lateral annual,14.5,x
2024-05-06,29,west,lateral annual,7.1,x
2024-05-06,29,west,lateral annual,8.4,x
2024-05-06,29,west,lateral annual,5.7,x
2024-05-06,29,west,lateral annual,6.4,x
2024-05-06,30,west,pluriennial,16.9,x
2024-05-06,30,west,pluriennial,16.2,x
2024-05-06,30,west,pluriennial,13.3,x
2024-05-06,30,west,pluriennial,17.9,x
2024-05-06,30,west,pluriennial,12.6,x
2024-05-06,30,west,pluriennial,12.9,x
2024-05-06,101,west,pluriennial,15.3,
2024-05-06,101,west,pluriennial,18.4,
2024-05-06,101,west,pluriennial,16.4,
2024-05-06,101,west,pluriennial,18.3,
2024-05-06,101,west,pluriennial,16.5,
2024-05-06,102,west,pluriennial,15.7,
2024-05-06,102,west,pluriennial,15.5,
2024-05-06,102,west,pluriennial,15.1,
2024-05-06,102,west,pluriennial,15.5,
2024-05-06,102,west,pluriennial,13,
2024-05-06,103,west,pluriennial,16.5,
2024-05-06,103,west,pluriennial,13.5,
2024-05-06,103,west,pluriennial,13.9,
2024-05-06,103,west,pluriennial,13.1,
2024-05-06,103,west,pluriennial,16.9,
2024-05-06,104,west,pluriennial,20.1,
2024-05-06,104,west,pluriennial,16,
2024-05-06,104,west,pluriennial,17.3,
2024-05-06,104,west,pluriennial,16.4,
2024-05-06,104,west,pluriennial,18.7,
2024-05-06,105,west,pluriennial,13.1,
2024-05-06,105,west,pluriennial,13.2,
2024-05-06,105,west,pluriennial,10.7,
2024-05-06,105,west,pluriennial,12.5,
2024-05-06,105,west,pluriennial,14.6,
2024-05-10,1,east,apical annual,14.5,x
2024-05-10,1,east,apical annual,15.2,x
2024-05-10,1,east,apical annual,18.9,x
2024-05-10,1,east,apical annual,15.6,x
2024-05-10,1,east,apical annual,17.3,x
2024-05-10,1,east,apical annual,14.4,x
2024-05-10,2,east,lateral annual,13.4,x
2024-05-10,2,east,lateral annual,7.1,x
2024-05-10,2,east,lateral annual,6.7,x
2024-05-10,2,east,lateral annual,6.5,x
2024-05-10,2,east,lateral annual,5.5,x
2024-05-10,3,east,pluriennial,23.3,x
2024-05-10,3,east,pluriennial,19.4,x
2024-05-10,3,east,pluriennial,20.7,x
2024-05-10,3,east,pluriennial,16.6,x
2024-05-10,4,east,apical annual,10.6,
2024-05-10,4,east,apical annual,13.7,
2024-05-10,4,east,apical annual,13,
2024-05-10,5,east,lateral annual,13.8,x
2024-05-10,5,east,lateral annual,12.6,x
2024-05-10,5,east,lateral annual,10.1,x
2024-05-10,5,east,lateral annual,10.2,x
2024-05-10,5,east,lateral annual,10.7,x
2024-05-10,6,east,pluriennial,16.2,x
2024-05-10,6,east,pluriennial,13.2,x
2024-05-10,6,east,pluriennial,8.8,x
2024-05-10,6,east,pluriennial,14.1,x
2024-05-10,6,east,pluriennial,14,x
2024-05-10,7,east,apical annual,16.6,x
2024-05-10,7,east,apical annual,22.2,x
2024-05-10,7,east,apical annual,20.9,x
2024-05-10,7,east,apical annual,15.5,x
2024-05-10,7,east,apical annual,14.5,x
2024-05-10,7,east,apical annual,16.1,x
2024-05-10,8,east,lateral annual,11.7,x
2024-05-10,8,east,lateral annual,4,x
2024-05-10,8,east,lateral annual,8.3,x
2024-05-10,8,east,lateral annual,9.6,x
2024-05-10,8,east,lateral annual,4.8,x
2024-05-10,9,east,pluriennial,22.6,x
2024-05-10,9,east,pluriennial,13.3,x
2024-05-10,9,east,pluriennial,18.2,x
2024-05-10,9,east,pluriennial,8.8,x
2024-05-10,10,east,apical annual,12.9,
2024-05-10,10,east,apical annual,12.8,
